"boi_activity_date","boi_meeting_date_indicator","boi_projection_materials_indicator","boi_minutes_dates_indicator"
2011-02-07,0,0,1
2011-02-21,1,0,0
2011-03-07,0,0,1
2011-03-28,1,0,0
2011-04-11,0,0,1
2011-05-23,1,0,0
2011-06-06,0,0,1
2011-06-27,1,0,0
2011-07-11,0,0,1
2011-07-25,1,0,0
2011-08-08,0,0,1
2011-08-29,1,0,0
2011-09-12,0,0,1
2011-09-26,1,0,0
2011-10-10,0,0,1
2011-10-24,1,0,0
2011-11-07,0,0,1
2011-11-28,1,0,0
2011-12-12,0,0,1
2011-12-26,1,0,0
2012-01-09,0,0,1
2012-01-23,1,0,0
2012-02-06,0,0,1
2012-02-23,1,0,0
2012-03-12,0,0,1
2012-04-09,0,0,1
2012-05-07,0,0,1
2012-06-11,0,0,1
2012-07-09,0,0,1
2012-08-06,0,0,1
2012-08-27,1,0,0
2012-09-11,0,0,1
2012-09-24,1,0,0
2012-10-09,0,0,1
2012-10-29,1,0,0
2012-11-12,0,0,1
2012-11-26,1,0,0
2012-12-24,1,0,0
2013-01-28,1,0,0
2013-02-11,0,0,1
2013-02-25,1,0,0
2013-03-24,1,0,0
2013-04-07,0,0,1
2013-05-13,1,0,0
2013-05-27,1,0,0
2013-06-10,0,0,1
2013-06-24,1,0,0
2013-07-29,1,0,0
2013-08-26,1,0,0
2013-09-23,1,0,0
2013-10-28,1,0,0
2013-11-25,1,0,0
2013-12-23,1,0,0
2014-01-27,1,0,0
2014-02-02,0,1,0
2014-02-24,1,0,0
2014-03-24,1,0,0
2014-04-28,1,0,0
2014-05-26,1,0,0
2014-06-23,1,0,0
2014-07-28,1,0,0
2014-08-25,1,0,0
2014-09-22,1,0,0
2014-10-27,1,0,0
2014-11-10,0,NA,1
2014-11-24,1,0,0
2014-12-29,1,0,0
2015-01-26,1,0,0
2015-02-23,1,0,0
2015-03-04,0,1,0
2015-03-23,1,0,0
2015-04-27,1,0,0
2015-05-25,1,0,0
2015-06-22,1,0,0
2015-07-27,1,0,0
2015-08-03,0,1,0
2015-08-10,0,0,1
2015-08-24,1,0,0
2015-09-24,1,0,0
2015-10-26,1,0,0
2015-11-23,1,0,0
2015-12-28,1,0,0
2016-01-25,1,0,0
2016-02-08,0,1,0
2016-02-22,1,0,0
2016-03-28,1,0,0
2016-04-21,1,0,0
2016-05-23,1,0,0
2016-06-27,1,0,0
2016-07-25,1,0,0
2016-08-03,0,1,0
2016-08-29,1,0,0
2016-09-26,1,0,0
2016-10-27,1,0,0
2016-11-10,0,0,1
2016-11-28,1,0,0
2016-12-26,1,0,0
2017-01-09,0,0,1
2017-01-23,1,0,0
2017-02-23,0,1,0
2017-02-27,1,0,0
2017-04-06,1,0,0
2017-05-29,1,0,0
2017-07-10,1,0,0
2017-08-28,0,1,0
2017-08-29,1,0,0
2017-10-19,1,0,0
2017-11-27,1,0,0
2018-01-10,1,0,1
2018-02-15,0,1,0
2018-02-26,1,0,1
2018-04-16,1,0,1
2018-05-28,1,0,1
2018-07-09,1,0,1
2018-08-12,0,1,0
2018-08-29,1,0,1
2018-10-08,1,0,1
2018-11-26,1,0,1
2019-01-07,1,0,1
2019-02-25,1,0,1
2019-03-03,0,1,0
2019-04-08,1,0,1
2019-05-20,1,0,1
2019-07-08,1,0,1
2019-07-25,0,1,0
2019-08-28,1,0,1
2019-10-07,1,0,1
2019-11-25,1,0,1
2020-01-09,1,0,1
2020-01-23,0,1,0
2020-02-24,1,0,1
2020-04-06,1,0,1
2020-07-06,1,0,1
2020-07-20,0,1,0
2020-08-24,1,0,1
2020-10-22,1,0,1
2020-11-30,1,0,1
2021-01-04,1,0,1
2021-01-18,0,1,0
2021-02-22,1,0,1
2021-04-19,1,0,1
2021-05-31,1,0,1
2021-07-05,1,0,1
2021-07-19,0,1,0
2021-08-23,1,0,1
2021-10-07,1,0,1
2021-11-22,1,0,1
2022-01-03,1,0,1
2022-01-17,0,1,0
2022-02-21,1,0,1
2022-04-11,1,0,1
2022-05-23,1,0,1
2022-07-04,1,0,1
2022-07-18,0,1,0
2022-08-22,1,0,1
2022-10-03,1,0,1
2022-11-21,1,0,1
2023-01-02,1,0,1
2023-01-18,0,1,0
2023-02-20,1,0,1
2023-04-03,1,0,1
2023-05-22,1,0,1
2023-07-10,1,0,1
2023-08-09,0,1,0
2023-09-04,1,0,1
2023-10-23,1,0,1
2023-11-27,1,0,1
