date,bot_meeting_date_indicator,bot_non_scheduled_meeting_indicator,bot_minutes_date_indicator
2015-12-30,0,0,1
2016-02-03,1,0,0
2016-02-17,0,0,1
2016-03-23,1,0,0
2016-04-05,0,0,1
2016-05-11,1,0,0
2016-05-25,0,0,1
2016-06-22,1,0,0
2016-07-06,0,0,1
2016-08-03,1,0,0
2016-08-17,0,0,1
2016-09-14,1,0,0
2016-09-28,0,0,1
2016-11-09,1,0,0
2016-11-23,0,0,1
2016-12-21,1,0,0
2017-01-04,0,0,1
2017-02-08,1,0,0
2017-02-22,0,0,1
2017-03-29,1,0,0
2017-04-12,0,0,1
2017-05-24,1,0,0
2017-06-07,0,0,1
2017-07-05,1,0,0
2017-07-19,0,0,1
2017-08-16,1,0,0
2017-08-30,0,0,1
2017-09-27,1,0,0
2017-10-11,0,0,1
2017-11-08,1,0,0
2017-11-22,0,0,1
2017-12-20,1,0,0
2018-01-03,0,0,1
2018-02-28,0,0,1
2018-04-11,0,0,1
2018-05-30,0,0,1
2018-07-04,0,0,1
2018-08-22,0,0,1
2018-10-03,0,0,1
2018-11-28,0,0,1
2019-01-02,0,0,1
2019-02-06,1,0,0
2019-02-20,0,0,1
2019-03-20,1,0,0
2019-04-03,0,0,1
2019-05-08,1,0,0
2019-05-22,0,0,1
2019-06-26,1,0,0
2019-07-10,0,0,1
2019-08-07,1,0,0
2019-08-21,0,0,1
2019-09-25,1,0,0
2019-10-09,0,0,1
2019-11-06,1,0,0
2019-11-20,0,0,1
2019-12-18,1,0,0
2020-01-02,0,0,1
2020-02-05,1,0,0
2020-02-19,0,0,1
2020-03-25,1,0,0
2020-04-08,0,0,1
2020-05-20,1,0,0
2020-06-04,0,0,1
2020-06-24,1,0,0
2020-07-08,0,0,1
2020-08-05,1,0,0
2020-08-19,0,0,1
2020-09-23,1,0,0
2020-10-07,0,0,1
2020-11-18,1,0,0
2020-12-02,0,0,1
2020-12-23,1,0,0
2021-01-06,0,0,1
2021-02-03,1,0,0
2021-02-17,0,0,1
2021-03-24,1,0,0
2021-04-07,0,0,1
2021-05-05,1,0,0
2021-05-19,0,0,1
2021-06-23,1,0,0
2021-07-07,0,0,1
2021-08-04,1,0,0
2021-08-18,0,0,1
2021-09-29,1,0,0
2021-10-14,0,0,1
2021-11-10,1,0,0
2021-11-24,0,0,1
2021-12-22,1,0,0
2022-01-05,0,0,1
2022-02-09,1,0,0
2022-02-23,0,0,1
2022-03-30,1,0,0
2022-04-12,0,0,1
2022-06-08,1,0,0
2022-06-22,0,0,1
2022-08-10,1,0,0
2022-08-24,0,0,1
2022-09-28,1,0,0
2022-10-12,0,0,1
2022-11-30,1,0,0
2022-12-14,0,0,1
2023-01-25,1,0,0
2023-02-08,0,0,1
2023-03-29,1,0,0
2023-04-12,0,0,1
2023-05-31,1,0,0
2023-06-14,0,0,1
2023-07-24,0,0,1
2023-08-02,1,0,0
2023-09-27,1,0,0
2023-10-11,0,0,1
2023-11-29,1,0,0
