"date","bok_meeting_date_indicator","bok_unscheduled_meeting"
2020-02-27,1,0
2020-03-16,0,1
2020-04-09,1,0
2020-05-28,1,0
2020-07-16,1,0
2020-08-27,1,0
2020-10-14,1,0
2020-11-26,1,0
2021-01-15,1,0
2021-02-25,1,0
2021-04-15,1,0
2021-05-27,1,0
2021-07-15,1,0
2021-08-26,1,0
2021-10-12,1,0
2021-11-25,1,0
2022-01-14,1,0
2022-02-24,1,0
2022-04-14,1,0
2022-05-26,1,0
2022-07-13,1,0
2022-08-25,1,0
2022-10-12,1,0
2022-11-24,1,0
2023-01-13,1,0
2023-02-23,1,0
2023-04-11,1,0
2023-05-25,1,0
2023-07-13,1,0
2023-08-24,1,0
2023-10-19,1,0
2023-11-30,1,0
