"boe_activity_date","boe_meeting_date_indicator","boe_non_scheduled_meeting_indicator","boe_projection_materials_indicator","boe_minutes_date_indicator"
2006-08-09,0,0,1,0
2006-08-16,0,0,0,1
2006-09-07,1,0,0,0
2006-09-20,0,0,0,1
2006-10-05,1,0,0,0
2006-10-18,0,0,0,1
2006-11-09,1,0,0,0
2006-11-15,0,0,1,0
2006-11-22,0,0,0,1
2006-12-07,1,0,0,0
2006-12-20,0,0,0,1
2007-01-11,1,0,0,0
2007-01-24,0,0,0,1
2007-02-08,1,0,0,0
2007-02-14,0,0,1,0
2007-02-21,0,0,0,1
2007-03-08,1,0,0,0
2007-03-21,0,0,0,1
2007-04-05,1,0,0,0
2007-04-18,0,0,0,1
2007-05-10,1,0,0,0
2007-05-16,0,0,1,0
2007-05-23,0,0,0,1
2007-06-07,1,0,0,0
2007-06-20,0,0,0,1
2007-07-05,1,0,0,0
2007-07-18,0,0,0,1
2007-08-02,1,0,0,0
2007-08-08,0,0,1,0
2007-08-15,0,0,0,1
2007-09-06,1,0,0,0
2007-09-19,0,0,0,1
2007-10-04,1,0,0,0
2007-10-17,0,0,0,1
2007-11-08,1,0,0,0
2007-11-14,0,0,1,0
2007-11-21,0,0,0,1
2007-12-06,1,0,0,0
2007-12-19,0,0,0,1
2008-01-10,1,0,0,0
2008-01-23,0,0,0,1
2008-02-07,1,0,0,0
2008-02-13,0,0,1,0
2008-02-20,0,0,0,1
2008-03-06,1,0,0,0
2008-03-19,0,0,0,1
2008-04-10,1,0,0,0
2008-04-23,0,0,0,1
2008-05-08,1,0,0,0
2008-05-14,0,0,1,0
2008-05-21,0,0,0,1
2008-06-05,1,0,0,0
2008-06-18,0,0,0,1
2008-07-10,1,0,0,0
2008-07-23,0,0,0,1
2008-08-07,1,0,0,0
2008-08-13,0,0,1,0
2008-08-20,0,0,0,1
2008-09-04,1,0,0,0
2008-09-17,0,0,0,1
2008-10-08,1,0,0,0
2008-10-22,0,0,0,1
2008-11-06,1,0,0,0
2008-11-12,0,0,1,0
2008-11-19,0,0,0,1
2008-12-04,1,0,0,0
2008-12-17,0,0,0,1
2009-01-08,1,0,0,0
2009-01-21,0,0,0,1
2009-02-05,1,0,0,0
2009-02-11,0,0,1,0
2009-02-18,0,0,0,1
2009-03-05,1,0,0,0
2009-03-18,0,0,0,1
2009-04-09,1,0,0,0
2009-04-22,0,0,0,1
2009-05-07,1,0,0,0
2009-05-13,0,0,1,0
2009-05-20,0,0,0,1
2009-06-04,1,0,0,0
2009-06-17,0,0,0,1
2009-07-09,1,0,0,0
2009-07-22,0,0,0,1
2009-08-06,1,0,0,0
2009-08-12,0,0,1,0
2009-08-19,0,0,0,1
2009-09-10,1,0,0,0
2009-09-23,0,0,0,1
2009-10-08,1,0,0,0
2009-10-21,0,0,0,1
2009-11-05,1,0,0,0
2009-11-11,0,0,1,0
2009-11-18,0,0,0,1
2009-12-10,1,0,0,0
2009-12-23,0,0,0,1
2010-01-07,1,0,0,0
2010-01-20,0,0,0,1
2010-02-04,1,0,0,0
2010-02-10,0,0,1,0
2010-02-17,0,0,0,1
2010-03-04,1,0,0,0
2010-03-17,0,0,0,1
2010-04-08,1,0,0,0
2010-04-21,0,0,0,1
2010-05-10,1,0,0,0
2010-05-12,0,0,1,0
2010-05-19,0,0,0,1
2010-06-10,1,0,0,0
2010-06-23,0,0,0,1
2010-07-08,1,0,0,0
2010-07-21,0,0,0,1
2010-08-05,1,0,0,0
2010-08-11,0,0,1,0
2010-08-18,0,0,0,1
2010-09-09,1,0,0,0
2010-09-22,0,0,0,1
2010-10-07,1,0,0,0
2010-10-20,0,0,0,1
2010-11-04,1,0,0,0
2010-11-10,0,0,1,0
2010-11-17,0,0,0,1
2010-12-09,1,0,0,0
2010-12-22,0,0,0,1
2011-01-13,1,0,0,0
2011-01-26,0,0,0,1
2011-02-10,1,0,0,0
2011-02-16,0,0,1,0
2011-02-23,0,0,0,1
2011-03-10,1,0,0,0
2011-03-23,0,0,0,1
2011-04-07,1,0,0,0
2011-04-20,0,0,0,1
2011-05-05,1,0,0,0
2011-05-11,0,0,1,0
2011-05-18,0,0,0,1
2011-06-09,1,0,0,0
2011-06-22,0,0,0,1
2011-07-07,1,0,0,0
2011-07-20,0,0,0,1
2011-08-04,1,0,0,0
2011-08-10,0,0,1,0
2011-08-17,0,0,0,1
2011-09-08,1,0,0,0
2011-09-21,0,0,0,1
2011-10-06,1,0,0,0
2011-10-19,0,0,0,1
2011-11-10,1,0,0,0
2011-11-16,0,0,1,0
2011-11-23,0,0,0,1
2011-12-08,1,0,0,0
2011-12-21,0,0,0,1
2012-01-12,1,0,0,0
2012-01-25,0,0,0,1
2012-02-09,1,0,0,0
2012-02-15,0,0,1,0
2012-02-22,0,0,0,1
2012-03-08,1,0,0,0
2012-03-21,0,0,0,1
2012-04-05,1,0,0,0
2012-04-18,0,0,0,1
2012-05-10,1,0,0,0
2012-05-16,0,0,1,0
2012-05-23,0,0,0,1
2012-06-07,1,0,0,0
2012-06-20,0,0,0,1
2012-07-05,1,0,0,0
2012-07-18,0,0,0,1
2012-08-02,1,0,0,0
2012-08-08,0,0,1,0
2012-08-15,0,0,0,1
2012-09-06,1,0,0,0
2012-09-19,0,0,0,1
2012-10-04,1,0,0,0
2012-10-17,0,0,0,1
2012-11-08,1,0,0,0
2012-11-14,0,0,1,0
2012-11-21,0,0,0,1
2012-12-06,1,0,0,0
2012-12-19,0,0,0,1
2013-01-10,1,0,0,0
2013-01-23,0,0,0,1
2013-02-07,1,0,0,0
2013-02-13,0,0,1,0
2013-02-20,0,0,0,1
2013-03-07,1,0,0,0
2013-03-20,0,0,0,1
2013-04-04,1,0,0,0
2013-04-17,0,0,0,1
2013-05-09,1,0,0,0
2013-05-15,0,0,1,0
2013-05-22,0,0,0,1
2013-06-06,1,0,0,0
2013-06-19,0,0,0,1
2013-07-04,1,0,0,0
2013-07-17,0,0,0,1
2013-08-01,1,0,0,0
2013-08-07,0,0,1,0
2013-08-14,0,0,0,1
2013-09-05,1,0,0,0
2013-09-18,0,0,0,1
2013-10-09,1,0,0,0
2013-10-23,0,0,0,1
2013-11-07,1,0,0,0
2013-11-13,0,0,1,0
2013-11-20,0,0,0,1
2013-12-05,1,0,0,0
2013-12-18,0,0,0,1
2014-01-09,1,0,0,0
2014-01-22,0,0,0,1
2014-02-06,1,0,0,0
2014-02-12,0,0,1,0
2014-02-19,0,0,0,1
2014-03-06,1,0,0,0
2014-03-19,0,0,0,1
2014-04-09,1,0,0,0
2014-04-23,0,0,0,1
2014-05-08,1,0,0,0
2014-05-14,0,0,1,0
2014-05-21,0,0,0,1
2014-06-05,1,0,0,0
2014-06-18,0,0,0,1
2014-07-10,1,0,0,0
2014-07-23,0,0,0,1
2014-08-07,1,0,0,0
2014-08-13,0,0,1,0
2014-08-20,0,0,0,1
2014-09-04,1,0,0,0
2014-09-17,0,0,0,1
2014-10-08,1,0,0,0
2014-10-22,0,0,0,1
2014-11-06,1,0,0,0
2014-11-12,0,0,1,0
2014-11-19,0,0,0,1
2014-12-04,1,0,0,0
2014-12-17,0,0,0,1
2015-01-08,1,0,0,0
2015-01-21,0,0,0,1
2015-02-05,1,0,0,0
2015-02-12,0,0,1,0
2015-02-18,0,0,0,1
2015-03-05,1,0,0,0
2015-03-18,0,0,0,1
2015-04-09,1,0,0,0
2015-04-22,0,0,0,1
2015-05-08,1,0,0,0
2015-05-13,0,0,1,0
2015-05-20,0,0,0,1
2015-06-03,1,0,0,0
2015-06-17,0,0,0,1
2015-07-08,1,0,0,0
2015-07-22,0,0,0,1
2015-08-06,1,0,1,1
2015-09-10,1,0,0,1
2015-10-08,1,0,0,1
2015-11-05,1,0,1,1
2015-12-10,1,0,0,1
2016-01-14,1,0,0,1
2016-02-04,1,0,1,1
2016-03-17,1,0,0,1
2016-04-14,1,0,0,1
2016-05-12,1,0,1,1
2016-06-16,1,0,0,1
2016-07-14,1,0,0,1
2016-08-04,1,0,1,1
2016-09-15,1,0,0,1
2016-11-03,1,0,1,1
2016-12-15,1,0,0,1
2017-02-02,1,0,1,1
2017-03-16,1,0,0,1
2017-05-11,1,0,1,1
2017-06-15,1,0,0,1
2017-08-03,1,0,1,1
2017-09-14,1,0,0,1
2017-11-02,1,0,1,1
2017-12-14,1,0,0,1
2018-02-08,1,0,1,1
2018-03-22,1,0,0,1
2018-05-10,1,0,1,1
2018-06-21,1,0,0,1
2018-08-02,1,0,1,1
2018-09-13,1,0,0,1
2018-11-01,1,0,1,1
2018-12-20,1,0,0,1
2019-02-07,1,0,1,1
2019-03-21,1,0,0,1
2019-05-02,1,0,1,1
2019-06-20,1,0,0,1
2019-08-01,1,0,1,1
2019-09-19,1,0,0,1
2019-11-07,1,0,1,1
2019-12-19,1,0,0,1
2020-01-30,1,0,1,1
2020-03-11,1,0,0,1
2020-03-19,1,1,0,0
2020-03-26,1,0,0,1
2020-05-07,1,0,1,1
2020-06-18,1,0,0,1
2020-08-06,1,0,1,1
2020-09-17,1,0,0,1
2020-11-05,1,0,1,1
2020-12-17,1,0,0,1
2021-02-04,1,0,1,1
2021-03-18,1,0,0,1
2021-05-06,1,0,1,1
2021-06-24,1,0,0,1
2021-08-05,1,0,1,1
2021-09-23,1,0,0,1
2021-11-04,1,0,1,1
2021-12-16,1,0,0,1
2022-02-03,1,0,1,1
2022-03-17,1,0,0,1
2022-05-05,1,0,1,1
2022-06-16,1,0,0,1
2022-08-04,1,0,1,1
2022-09-15,1,0,0,1
2022-11-03,1,0,1,1
2022-12-15,1,0,0,1
2023-02-02,1,0,1,1
2023-03-23,1,0,0,1
2023-05-11,1,0,1,1
2023-06-22,1,0,0,1
2023-08-03,1,0,1,1
2023-09-21,1,0,0,1
